No;Nama Vendor;Alat/Teknologi;Provinsi;Kab./Kota;Ketersediaan Alat;Nomor Registrasi;Tanggal Terbit;Masa Berlaku
110;PT ADDON CADIAC ALFA;Incinerator Sampah Domestik merk “SANKYO”;DKI Jakarta;Jakarta Selatan;Menjangkau seluruh wilayah Indonesia;110/TRL/Reg-1/KLHK;18 Maret 2020;3 tahun
111;PT ANUGERAH  MANDIRI SUKSESTAMA;IPAL system Anaerob-Aerob merk “UWI”;Jawa Barat;Kabupaten Cirebon;Menjangkau seluruh wilayah Indonesia;111/TRL/Reg-1/KLHK;23 Maret 2020;3 tahun
112;PT KARYA PRATAMA;Autoclave merk “GIENT”;Banten;Kota Tangerang;Menjangkau seluruh wilayah Indonesia;112/TRL/Reg-1/KLHK;08-Apr-20;3 tahun
113;PT VISI TRADING;Autoclave merk “NEWSTER”;DKI Jakarta;Jakarta Pusat;Menjangkau seluruh wilayah Indonesia;113/TRL/Reg-1/KLHK;08-Apr-20;3 tahun
114;PT KLIN ;Incinerator merk “DAMRYS;Bali;Kota Denpasar;;114/TRL/Reg-1/KLHK;22-Apr-20;3 tahun
115;CV INDOWASH;Magnetic Thermal Waste Processing “SINTAWAKA”;Jawa Barat;Kabupaten Bandung;Menjangkau seluruh wilayah Indonesia;115/TRL/Reg-1/KLHK;24-Apr-20;3 tahun
116;PT Enviro Meditech Pratama;Rapid Composting & Fermentation System (RCFS) merk “BIOMATE”;DKI Jakarta;Jakarta Pusat;Menjangkau seluruh wilayah Indonesia;116/TRL/Reg-1/KLHK;10 Juni 2020;3 tahun
117;PT GATAMA SUKSES MANDIRI;Teknologi Pembersih Emulsi “MICROCLEAR”;DKI Jakarta;Jakarta Selatan;Menjangkau seluruh wilayah Indonesia;117a/TRL/Reg-1/KLHK;17 Juni 2020;3 tahun
118;PT Hapus Sampah Nusantara;Teknologi Pemrosesan Sampah Ramah Lingkungan (Teknologi Karbonasi Dr Ishenny);Jawa Barat;Kota Bekasi;Menjangkau seluruh wilayah Indonesia;117b/TRL/Reg-1/KLHK;21 Agustus 2020;3 tahun
119;PT FAJAR HALIM SEJAHTERA;EVAC  Throw & Extinguisher (650 ml);DKI Jakarta;Jakarta Pusat;Menjangkau seluruh wilayah Indonesia;118/TRL/Reg-1/KLHK;09-Sep-20;3 tahun
120;PT INZAN PERMATA;IPAL merk “BIOTREAT”;Jawa Barat;Kota Depok;Menjangkau seluruh wilayah Indonesia;119/TRL/Reg-1/KLHK;24-Sep-20;3 tahun
121;PTHARMONY PILAR SENTOSA;Septic Tank merk “BIOAGA”;Jawa Timur;Kabupaten Gresik;Menjangkau seluruh wilayah Indonesia;120/TRL/Reg-1/KLHK;2 Oktober 2020;3 tahun
122;CV. Abriantama Indosa;Medical Waste Storage merk  “ABI”;Jawa Timur;Kabupaten Nganjuk;Menjangkau seluruh wilayah Indonesia;121/TRL/Reg-1/KLHK;2 Oktober 2020;3 tahun
123;CV BARTEC UTAMA MANDIRI;Alat Pengolah Sampah merk “BARTEC;Jawa Tengah;Kota Semarang;Menjangkau seluruh wilayah Indonesia;122/TRL/Reg-1/KLHK;8 Oktober 2020;3 tahun
124;PT BERKAH CIPTA SEJAHTERA;IPAL merk “Bio Cord Reactor BCS;DKI Jakarta;Jakarta Selatan;Menjangkau seluruh wilayah Indonesia;123/TRL/Reg-1/KLHK;13 Oktober 2020;3 tahun
125;PT OSAKA BHAGASKARA PRABUNYA;Instalasi Pengolah Air Limbah Domestik sistem Ejector dan sistem blower merk “HEXAGUARD”;Jawa Timur;Kota Surabaya;Menjangkau seluruh wilayah Indonesia;124/TRL/Reg-1/KLHK;14 Oktober 2020;3 tahun
126;PT ARIANTO DARMAWAN;Incinerator merk “DARMAWAN”;Jawa Barat;Kota Bandung;Menjangkau seluruh wilayah Indonesia;125/TRL/Reg-1/KLHK;22 Oktober 2020;3 tahun
127;PT INDURO INTERNASIONAL;IPAL Komunal merk “BIOCOMP”, Septic tank merk “BIOFIL” ;Banten;Kabupaten Tangerang;Menjangkau seluruh wilayah Indonesia;126/TRL/Reg-1/KLHK;22 Oktober 2020;3 tahun
128;CV BIMA REKSA;IPAL domestik;Jawa Timur;Kabupaten Sidoarjo;Menjangkau seluruh wilayah Indonesia;127/TRL/Reg-1/KLHK;27-Nov-20;3 tahun
129;PT KARTIKA HIJAU ABADI;Incinerator Limbah B3 merk “KHA”;DKI Jakarta;Jakarta Selatan;Menjangkau seluruh wilayah Indonesia;128/TRL/Reg-1/KLHK;11 Desember 2020;3 tahun
130;PT HARIFF DAYA TUNGGAL ENGINEERING;Alat Pengolah Sampah system Thermo Plasma;Jawa Barat;Kota Bandung;Menjangkau seluruh wilayah Indonesia;129/TRL/Reg-1/KLHK;11 Desember 2020;3 tahun
131;PT BUMI GALUH PERKASA;Alat Pengolah Sampah;Jawa Timur;Kabupaten Sidoarjo;Menjangkau seluruh wilayah Indonesia;130/TRL/Reg-1/KLHK;11 Desember 2020;3 tahun
132;PT MALIDA JAYA PERKASA;Incinerator sampah domestik merk “PREDATOR”;Jawa Barat;Kabupaten Bekasi;Menjangkau seluruh wilayah Indonesia;131/TRL/Reg-1/KLHK;21 Desember 2020;3 tahun
133;PT VAVA ENVIRO UTAMA;IPAL system Biofilter merk “VAVATECH”;Jawa Timur;Kabupaten Sidoarjo;Menjangkau seluruh wilayah Indonesia;132/TRL/Reg-1/KLHK;20 Januari 2021;3 tahun
134;PT CIPTAPRESISI SARANA TEKSINDO;IPAL system Biofilter merk “OXY BIO COMPACT”;Jawa Barat;Kota Bogor;Menjangkau seluruh wilayah Indonesia;133/TRL/Reg-1/KLHK;2 Februari 2021;3 tahun
135;PT BUMI RESIK NUSANTARA;Pemusnah Sampah Domestik system Hydrodrive;DKI Jakarta;Jakarta Selatan;Menjangkau seluruh wilayah Indonesia;134/TRL/Reg-1/KLHK;Dicabut Registrasi tanggal 15 Agustus 2021;3 tahun
136;PT GOMDA SINDARU INDONESIA;IPAL merk “BIO GOSINDO”;DKI Jakarta;Jakarta Barat;Menjangkau seluruh wilayah Indonesia;135/TRL/Reg-1/KLHK;16 Maret 2021;3 tahun
137;CV SINAR INFINITY FIBERTECH;Septic tank merk “BIOSIFT”;Banten;Kabupaten Tangerang;Menjangkau seluruh wilayah Indonesia;136/TRL/Reg-1/KLHK;17 Maret 2021;3 tahun
138;CV Surya Agung Enterprises;IPAL system Biofilter merk “SAE”;Jawa Timur;Kabupaten Gresik;Menjangkau seluruh wilayah Indonesia;137/TRL/Reg-1/KLHK;05-Apr-21;3 tahun
139;CV BIMA REKSA;IPAL system Biofilter merk “BIOFIL”;Jawa Timur;Kabupaten Sidoarjo;Menjangkau seluruh wilayah Indonesia;138/TRL/Reg-1/KLHK;14-Apr-21;3 tahun
140;PT Indopower International;Incinerator sampah domestik merk “IPI AWS”;DKI Jakarta;Jakarta Barat;Menjangkau seluruh wilayah Indonesia;139/TRL/Reg-1/KLHK;;3 tahun
141;PT Multi Medika Raya;IPAL  merk “DENTRONIC”;DKI Jakarta;Jakarta Barat;Menjangkau seluruh wilayah Indonesia;140/TRL/Reg-1/KLHK;3 Mei 2021;3 tahun
142;PT Mukti Wijaya Fibertech;IPAL system Biofilter merk “BIOVIT” ;DKI Jakarta;Jakarta Barat;Menjangkau seluruh wilayah Indonesia;141/TRL/Reg-1/KLHK;3 Mei 2021;3 tahun
143;PT Hiji Lintang Purnama;IPAL system Elekterokoagulasi merk “HZ”;DKI Jakarta;Jakarta Timur;Menjangkau seluruh wilayah Indonesia;142/TRL/Reg-1/KLHK;4 Juni 2021;3 tahun
144;PT Hiji Lintang Purnama;Incinerator Limbah B3 merk “HZ”;DKI Jakarta;Jakarta Timur;Menjangkau seluruh wilayah Indonesia;143/TRL/Reg-1/KLHK;4 Juni 2021;3 tahun
145;CV PRIMA UTAMA;Septic tank merk “PENNYU”;Jawa Tengah;Kota Semarang;Menjangkau seluruh wilayah Indonesia;144/TRL/Reg-1/KLHK;16 Juni 2021;3 tahun
146;PT Armasco Engineering;Incinerator merk “ARMASCO ENGINEERING”;Jawa Timur;Kota Surabaya;Menjangkau seluruh wilayah Indonesia;145/TRL/Reg-1/KLHK;16 Juni 2021;3 tahun
147;PT Parahita Ananta;Incinerator sampah domestik “WISANGGENI” ;Jawa Barat;Kota Bandung;Menjangkau seluruh wilayah Indonesia;146/TRL/Reg-1/KLHK;30 Juni 2021;3 tahun
148;PT Autentik Karya Analitika;IPAL system Biofilter merk “ePAL”;Jawa Tengah;Kota Semarang;Menjangkau seluruh wilayah Indonesia;147/TRL/Reg-1/KLHK;30 Juni 2021;3 tahun
149;CV Artas Alkesindo;IPAL system Biofilter merk “IPAL UTAMA”;DI Yogyakarta;Kota Yogyakarta;Menjangkau seluruh wilayah Indonesia;148/TRL/Reg-1/KLHK;30 Juni 2021;3 tahun
150;PT SUNDAYA INDONESIA;Pembangkit Listrik Tenaga Surya merk “SUNDAYA”;Jawa Barat;Kabupaten Bogor;Menjangkau seluruh wilayah Indonesia;149/TRL/Reg-1/KLHK;1 Juli 2021;3 tahun
151;PT Hari Mukti Teknik;Alat Pirolisis merk “DONG SO”;DI Yogyakarta;Kabupaten Bantul;Menjangkau seluruh wilayah Indonesia;150/TRL/Reg-1/KLHK;23 Juli 2021;3 tahun
152;PT Fluks Bahtera  Samudera;Alat Pengolah Sampah;Jawa Barat;Kabupaten Bogor;Menjangkau seluruh wilayah Indonesia;151/TRL/Reg-1/KLHK;13 Agustus 2021;3 tahun
153;PT Bintang Sarana Mediak;IPAL system Elektrokoagulasi merk “BISAMED”;DKI Jakarta;Jakarta Timur;Menjangkau seluruh wilayah Indonesia;152/TRL/Reg-1/KLHK;25 Oktober 2021;3 tahun
154;PT Bintang Sarana Medika;Incinerator Limbah B3 merk “BISAMED”;DKI Jakarta;Jakarta Timur;Menjangkau seluruh wilayah Indonesia;153/TRL/Reg-1/KLHK;25 Oktober 2021;3 tahub
155;PT Dodika Prabsco Resik Abadi;Incinerator Limbah B3 merk “DODIKA”;Jawa Barat;Kota Bogor;Menjangkau seluruh wilayah Indonesia;154/TRL/Reg-1/KLHK;13 Oktober 2021;3 tahun
156;PT Asahi Fibreglass;IPAL system Biofilter merk “BIOASAHI”;DKI Jakarta;Jakarta Utara;Menjangkau seluruh wilayah Indonesia;155/TRL/Reg-1/KLHK;26 Oktober 2021;3 tahun
157; PT. GEMILANG JAYA PLASTISINDO;Autoclave limbah medis merk “TIMO”;Jawa Barat;Kabupaten Bekasi;Menjangkau seluruh wilayah Indonesia;156/TRL/Reg-1/KLHK;26 Oktober 2021;3 tahun
